State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Gujarat,107945.12418595814,98.75536209691909,38669.574634379715,91.55690852077528,155901.73219200285,96.32813382915293,5768.052867978038,4.40321439011368,1093.0538689327134,3.564455216463151,6429.943888150431,5.591561043417437,3300.2839609246107,81.33906763613929,635.8622895432911,81.24351816430622,7363.245648409296,78.4547906522834
Uttar Pradesh,409806.3126343451,92.27480411078726,100089.30292982148,88.17406736101556,523166.3248435048,92.48535426174223,20135.549916356325,6.108750194983813,2204.877766957153,1.284257290338911,24312.893335121655,4.938574841052488,7092.716964416676,39.88417002029717,233.39049491583262,40.02600787042161,9679.686570850468,36.73132538659406
Lakshadweep,21.0,95.37983473641577,,,21.0,96.64931736614398,5.0,24.69563898794573,,,5.0,23.245628719039196,4.0,80.81690383423016,,,317.62086414667,77.37656399196021
Goa,27700.690393102115,98.58580310003563,2.0,72.56606629632462,21.0,93.95340749918209,2657.3884743252524,21.616075719044282,518.3101723042746,16.10562819747317,500.95248956979594,18.586920471386964,954.0011761450826,90.81692919092083,8.348969571802531,55.00842658414707,4.0,91.4026313683904
Meghalaya,21.0,79.40274188724847,2.0,50.10602473413327,21.0,75.65319701950945,498.5244989467226,5.865322250546327,24.040749524735144,2.3310133815285132,3705.3013910894992,4.54735547401057,2205.5320451330745,64.44286434491279,0.0,74.57731607207047,1261.400779464056,62.80652428362254
Haryana,84007.19126948061,96.82797797258597,1309.1580894087729,90.41098211874187,25195.81224707709,93.76084583458302,7087.744694380255,7.67493246714439,727.5165082676756,5.0648255882341875,4870.101911145739,7.001324346989772,5508.846061935932,76.58156608153334,673.9786457840776,61.32230586519665,2960.898774977598,77.24458422490267
Arunachal Pradesh,25228.089760569695,77.67993943891587,12142.794330136307,50.0,46598.5979990054,79.24729032773719,5.0,2.649352815815236,0.0,0.0,5.0,2.5,4.0,47.34484372569971,,,461.71338025243017,45.869128341869796
Telangana,54102.12529217924,94.27349870467941,13998.120645780866,92.75482035267068,29445.444965801704,94.15622936098634,2249.3504667681163,7.756505568032295,501.79516309419057,4.76766179883378,4646.7065130752935,6.58192969395788,1677.4235831271717,81.723528615659,814.8934175794833,84.06860570812506,4211.78271015615,79.49135427576167
Dadra and Nagar Haveli and Daman and Diu,15543.405724743492,99.2,1629.1843111340638,98.99303646669301,11161.968499142971,98.75781146883273,4180.5990907869755,6.535452646703654,0.0,4.410018061146091,2230.214413240428,6.968093631767291,479.4830076394771,84.38023837929663,87.49520435157973,71.69863041272791,656.4753147721358,81.85083457780874
Meghalaya,21.0,79.11276164939802,599.910750677177,50.486308431819175,37691.27059317336,77.1843268330011,3156.2598913153315,7.166175901467852,195.142193569307,2.0479532318758737,3657.25922044124,5.9368763692564075,4.0,66.47185982749038,0.0,70.45346554312091,2112.5541855183656,65.37592802628534
