State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Maharashtra,103972.40266773231,97.75458692708924,65895.47813542842,94.71589058753545,245206.56265420272,96.36849200307415,6764.913107400984,5.666945985392887,4776.694303622894,4.700451152299692,9558.432446441137,5.799577101727618,4609.481248023631,70.12921495314036,2641.6547032893973,58.459099363131166,10697.989952437454,60.9948944179718
Ladakh,40910.70189982152,91.8655615302914,2.0,84.30431978568414,45423.85443904329,90.42710934417111,590.9981991865782,2.4217908253261933,0.0,10.659326807035942,5713.275795544624,2.5,3849.2891417811347,83.86806738410161,0.0,95.01269795246873,1239.1373453632557,87.2921976555811
Chhattisgarh,2577.361015175473,91.51215133358586,22681.464036763857,87.7794018778742,21.0,91.28349585461459,2446.955997190961,8.886550720216857,949.6437887090888,7.626881382331225,7182.658850408188,9.58087710112418,2699.901254009175,48.73847734018523,0.0,28.134229550040754,4800.298386423989,45.4194340628701
Uttar Pradesh,417691.92425851437,93.87082400491248,89386.02459326039,86.99990239850135,481955.7069137493,91.33082592890274,20510.45224808814,5.042817084498345,1572.063014210385,2.785607160746614,25244.76241757764,5.041519858335443,9779.447817161483,38.0,843.9607131659563,33.48821357917459,10553.920349004431,37.94951305764286
Maharashtra,179481.77911589807,97.79484926246921,74566.5856430369,94.47166290724343,238358.96458907286,96.46243936947688,8776.035910229984,6.591325224473444,4915.661905291912,5.261221407655906,12633.725722430765,5.757648701823859,6431.461230378794,66.06890260750893,2258.754355351384,58.73913563747217,8912.207936785948,63.830929835651496
Arunachal Pradesh,44423.41554119449,80.32789924356408,2807.7127814524138,50.0,21.0,78.48315158417353,5.0,2.4733590202894735,74.87700149158121,0.26601715453661473,4165.68386819519,2.5,374.2079799414098,48.41563863108303,,,595.0434883674957,44.92748957578399
Jharkhand,52246.84527020995,89.07975687270684,11687.681994260189,86.38463194232028,87956.13857061762,89.25643924553648,1521.303500149223,4.974979884514974,750.7554871764012,7.368910093455605,6159.577450301875,5.655470372504059,4.0,56.06910959914984,343.68816980532586,39.14189640221322,2184.905133470197,53.30941556016513
Tripura,21.0,94.04037763681305,702.7235210474879,85.8868711848063,13297.447605171908,93.89269472787781,5.0,13.897511528975308,0.0,16.488356018804765,1056.1218229454,14.394927438542416,2376.9115391937094,38.0,135.63168717121303,5.286901721236502,4.0,36.5803096386634
West Bengal,99530.75803132016,93.59855550149892,13638.878884138761,79.68553656499024,102302.30159994094,92.06572574783108,14291.964268383408,14.236201435550973,1178.3457397528632,14.449585523628334,10680.793710946844,13.93870682503083,10766.73898645967,76.22915794625692,748.0221616880165,81.1693597815506,9611.63451923474,78.5378207452769
Bihar,62868.338170336094,66.71930457265613,76439.38636699873,86.99400804830654,179440.94662107906,76.0915528559368,5.0,4.519334145511229,3488.8287569759104,4.125154838112862,7243.592070052339,4.397858794857946,1050.356545903754,48.90566450165622,809.9551974591737,24.52998233190026,496.4163166634953,35.46046472321311
Delhi,73025.96854357964,83.4395680924162,8897.337436891394,54.92016089553922,73792.34692997373,81.3090628328616,5902.49755623374,7.711675473348271,430.3164459211016,11.772872020097976,11299.004154675298,8.016577969243315,4158.680525803924,49.695837300060425,271.27479352357113,26.9944639804491,4092.3503305699605,47.33355815761296
West Bengal,105506.29999430694,94.11162211985307,4778.0890121906095,80.63365805946707,118479.0189619005,91.99326724145656,14092.160916167299,14.381732084324105,203.0139894361571,14.177506906549075,10788.761063896394,14.234728367176446,10270.061897987835,76.30129772579747,798.336076919566,76.73092669063068,12434.938100431289,74.89834939851575
Arunachal Pradesh,21.0,80.25920181008341,156.34346360175044,50.0,21.0,78.78789917908398,5.0,2.44191634200086,0.0,0.0,5.0,2.794857151361105,177.078042271682,47.3033139496654,,,4.0,48.28302744755655
Haryana,51756.02408551653,95.4996187835426,3522.7320773431347,92.19937291746744,107338.14129843231,94.39417654266369,5.0,8.733275158434974,1519.534777499196,6.577979628595292,1724.477429528959,7.740426666415932,4028.8285744290392,74.98231403388047,404.92403875006704,66.61333495761463,4092.6332307351236,73.03436315390178
Bihar,52486.367390773354,66.1,82176.10728180913,86.85174832365828,111307.53312555565,75.62515152208645,4387.866500002778,5.370439128146945,3548.8662213015477,4.5737838391779,8838.866086926913,4.544424225365488,910.8369511953196,48.33848218581622,797.8812454872601,17.965206838604388,3776.4779700189906,33.733933846941504
Dadra and Nagar Haveli and Daman and Diu,21.0,99.2,2.0,100.0,21.0,98.88154121867697,5.0,6.198393399804383,0.0,4.882578296813008,5.0,5.552312270343708,4.0,82.75173117372242,0.0,62.68611743338121,3073.1087532358124,80.70850178452534
Andaman & Nicobar Islands,11762.686176057343,95.31217222664318,7120.869252395694,74.01038767321431,21.0,95.32120301126487,1734.1227533483623,19.24539360969971,0.0,33.3,1870.052049268213,18.794514426492835,4.0,72.9146139494789,122.11954829024579,100.0,576.7523337863237,71.09910703893968
Lakshadweep,1561.5422566810873,95.63032664861343,,,23912.733855141723,95.28552147215208,4672.259647716686,23.71694821151459,,,643.4033456017961,24.03473472931163,4.0,80.2189228563281,,,740.7032756680836,78.26922595208387
Punjab,80942.4989992393,91.13901484613274,8424.824145664026,90.08453971626304,56359.337531543184,91.33623298231338,3047.811975195099,12.532793438918475,959.4670714070862,7.511662274171814,3348.5358542628765,10.245806296940389,2769.573777323309,44.53424723583192,0.0,24.626032377175843,3668.77759948755,41.23795851227353
Chandigarh,21.0,95.87429745036407,2.0,73.54560183511254,21.0,93.62419085673028,5.0,8.82552594042317,99.33767952652023,11.749402400725328,5.0,8.915851319746343,3280.049262125164,82.74199986197499,27.85428622149349,96.7695980711113,4.0,77.58153790454371
India,1684321.263951959,92.25294433365234,507557.3516276042,85.37525701618087,2214092.3931137994,91.61344814112607,141817.27277110724,9.451626354302952,30488.998565176982,7.104984899525927,172306.19434832243,8.031049363046147,93897.0,64.9659547754596,16109.154178937259,54.2680860828521,110058.0,63.76087433254547
Assam,3678.070746410918,81.0634682400081,7254.589391511405,81.57090003637462,37065.330193087364,82.37854070513887,807.8255186408669,7.963712953809962,861.9614696423099,10.125913981958993,4987.077134740527,6.223380424863804,2240.542383522636,38.0,147.19313107764475,39.40666396116477,1315.8776986485202,39.62544237729436
Lakshadweep,21.0,94.82997459442421,,,18605.542863753613,95.74013773180616,5.0,23.534107327426902,,,425.9682650661774,23.48258779598402,1137.2380494236288,80.71264452655026,,,1425.7795833429172,82.00227117677828
Sikkim,39694.84695123504,98.43903193506296,2.0,96.30123026831752,20257.3867921976,97.59003918670572,3464.077172608271,7.6854947518714045,462.64941814744236,6.04780411855788,5.0,8.667832157953372,377.3288215074907,86.29849571810053,0.0,70.71845093386494,4.0,91.52103936891288
Haryana,73213.65483122057,96.25119930965332,18471.07903198932,92.31028576564191,90906.53405593966,93.55833091818317,4202.583961775786,7.821069431992834,1215.1002560016595,5.127131615700633,5287.594924060706,7.072335036625953,5526.602731532759,72.13213230430974,175.31732738104046,67.0693431312889,77.04823680057416,73.12581245908751
Rajasthan,124757.30131193236,89.94322615648191,32820.84227758057,87.18695472490086,159973.97594536567,89.48931640561953,1541.347784111585,3.291271729880853,1276.558182804825,3.611427924852562,3916.128698301557,2.5,3953.1352113725243,66.37182273212531,390.2881659846071,43.33505346487715,2233.9088996631745,56.896731077449296
Nagaland,21.0,84.42759728850449,2.0,92.7825037001585,21.0,83.37283506288061,5.0,5.2032700888766295,229.43925343650312,5.283927597930069,5.0,5.448016768450037,1101.0615094415484,49.154144382112506,132.70667658184908,12.704803662434601,4.0,45.61102659268007
Sikkim,21.0,97.62404769360839,1399.017770735888,94.60488009940875,14940.498265188775,97.00582814643506,2243.042758324374,9.646313121154797,306.3044625196798,5.6412894487488865,3200.0584764342225,9.023772997866065,529.5863761828198,85.5001276965166,0.0,75.09682892340882,4.0,86.89784599086693
Punjab,21.0,90.86221534811716,6331.102244877764,89.51748866930629,88921.61295718414,91.72964301849791,5524.6331955690175,12.282916222027284,825.129968708874,8.167146113594955,6678.382705618135,12.072983246048475,1698.908850609912,46.00079645178534,636.495640606749,21.318672486536478,2688.227608670327,43.090667821551726
Karnataka,77752.78289964572,96.35418229051068,2.0,89.06463271930399,85953.85940602135,94.4495779432969,11732.409314558643,14.807150570826767,1749.2942947702916,9.688291818990614,13317.76532215364,13.55848220391972,4755.461777308088,74.65059665290526,793.1622604292826,76.27845422506407,8614.500134097178,76.80453952182813
Odisha,40428.98361364774,98.0653784689035,12063.714368921403,92.61883274122604,122880.31689945812,97.10831857503227,1144.4792059299757,7.666344897104795,0.0,7.077952907009724,3345.4399027884965,7.9372355732074045,761.2397569056584,75.03889728392687,379.62187056691386,76.8304597071164,4389.08492453529,79.34353950316059
Haryana,22036.4107259582,96.2949859057468,22585.032099060416,92.40446391905071,25704.296104045978,94.92192031617365,212.5223232745857,6.000418734234347,1418.6598575934343,5.593217478529992,4035.1307182427627,7.03408752884882,4729.363076128263,73.99651634626194,379.42594102504785,64.95800852427995,2961.1017207025816,74.09687068128657
Lakshadweep,21.0,94.08189641137722,,,21.0,95.11248188041047,5.0,24.393633473730194,,,1881.749201825108,22.09781654380218,4.0,76.42914218725383,,,4.0,78.96153951731976
Karnataka,66577.83008722785,95.6743805584176,22271.398172573536,89.87621171364613,44250.00785579938,93.72767127617529,12994.587893891683,12.776523642006454,1655.39064934633,8.183163440574704,10402.193973988033,15.440432588770886,6680.834090343074,81.16772053085423,366.32383336419565,72.8631038105608,8558.9619542778,78.43702894068721
Nagaland,21.0,82.34936565968634,2593.7994130822194,94.17417455734946,21.0,84.26626741552468,5.0,6.485272664711269,591.89385332946,4.930672619596098,867.8693500560549,5.608586531954553,4.0,46.19734439347621,431.81746431873074,7.836471300731246,4.0,44.97844655207037
Arunachal Pradesh,21.0,79.5718907885014,2.0,50.0,21.0,78.59834557427405,174.70143294121544,2.3,0.0,0.0,305.57271183694905,3.7947437716272345,2986.8976180336413,46.30146595617812,,,259.1353384324237,46.54432215559814
Sikkim,5843.768192577667,96.95633298259933,2.0,99.24560227902516,21169.710604241583,96.94012976186582,5.0,7.6460836694193945,0.0,6.020619194334951,5.0,7.069269247723047,4.0,87.32329050605485,0.0,74.89000332683501,902.631277936768,91.02957250638603
Meghalaya,54574.415553842475,77.86955284850275,2.0,51.611351761901226,8638.096063769462,76.43617078745312,5.0,6.297945350301957,0.0,3.2733759579398467,3216.6848468887406,5.255080130935052,1089.9737018469948,67.66352410739002,42.66233147328664,76.35830227990404,4.0,64.26844579341196
Tripura,21.0,95.2015344226018,9052.494974424706,83.73467324892783,21.0,93.19651195224934,7013.553437581245,15.21910690436387,0.0,18.369591568385484,5.0,15.384583659344079,757.9340655183832,38.74863175454169,373.21727689286905,1.463740834333934,2994.241486324993,36.32758645921765
Goa,11422.709962378902,98.15117644713696,2.0,72.42031531382777,21.0,93.98795760335237,5.0,21.52941144045526,0.0,15.32049340887536,5.0,19.686216732421823,198.7598040890736,90.15938720448808,0.0,50.487660642288844,1161.363270966436,84.42178449916898
Telangana,40263.82934200448,94.69649806761451,26817.526308481152,93.97187326220552,92880.8474905689,94.96120104782275,3531.029791626237,5.428536406458958,968.6865079067644,5.001458185263468,1838.8877199308708,6.301545007986006,2384.252438870083,81.57040834414826,991.7916449584999,82.3174261261648,1769.5092073689734,81.66191422789801
Ladakh,21.0,91.44409476302782,2.0,82.23359933716061,3957.1820359318162,92.248631347383,451.62345256515414,2.3,601.1564204094509,11.06901366676455,5.0,3.1608997687141747,1546.0857829907627,83.09931737506668,0.0,100.0,4.0,87.74927776007169
Nagaland,21035.02347774784,84.17373783139753,2.0,95.96865803340573,24536.26727498277,84.05537414798631,476.4109195259644,6.315401061365347,0.0,6.112885088148959,1491.3770810159224,6.4785139367013365,821.1765273397791,49.48584981394399,158.21937302239,9.470291276559808,265.0970034695682,45.201319296139445
Chandigarh,21.0,95.53518877366963,2.0,73.21479492547071,73344.11845840975,95.26955295530638,2160.723116632711,7.615633899457797,919.2959955864005,11.497390477286297,5.0,8.493524827038014,213.63121241348665,78.12970757398824,0.0,100.0,4.0,76.02872832055695
India,1707030.0,91.94305882231161,506255.4651673325,89.19729180683571,2208304.133096504,91.52976254806019,143167.0,7.933629551827733,30564.0,7.65784990256587,173731.0,7.889586443904701,93357.46606329491,63.70831518887075,16161.0,57.52923207154305,110058.0,64.39483293930738
Delhi,54197.327139898356,83.53436896259707,1024.472196219268,56.42610548501358,75217.56044598647,80.45508543352491,8152.709294068103,8.416177062947657,625.4377035275836,10.330093504590488,3088.6290792880936,8.382699082276137,2058.8179703539477,50.86772255863631,323.512143703431,32.071704065778654,2828.5658074351636,46.963040368253424
Maharashtra,116846.4548109487,96.54686159892555,66209.30340236102,94.3609885159601,244310.0072812152,97.09524238542652,10735.38109930602,5.390219099153416,4651.667615726952,7.099970605750624,10245.43539495068,5.381109236482952,5459.206864520005,69.57340512819448,2540.265794308143,57.36334939305319,7746.142035528159,64.3685969327354
Delhi,78442.34896711784,84.62388511678442,19733.688032702186,56.45299228112591,78389.49535164688,81.29756641239472,5278.074913883456,7.5863183134320735,904.1280224629472,10.206918322312394,4215.673768575051,8.177757514583222,1449.7533902345383,49.81855073921234,80.74929698488597,23.94580513923342,1209.9590910390168,49.42532906075617
Odisha,74185.34256882404,97.22389633544007,9748.51805177527,92.32053163899354,21458.538205077042,96.55550280533684,1822.4096950377675,7.4930506519365485,15.180668672524973,5.637634737934987,4893.118297624893,6.855178232961056,1653.644055859259,78.94896181210338,174.36858809231515,81.53027453543726,5312.85556021798,76.26357504853718
Delhi,108810.82929482686,84.81462543809526,3048.166685542746,53.88032679292795,42120.07974391403,80.68501898954396,3648.4232810237,7.208103501077936,407.9249956314016,11.28791732955809,7754.235562312336,8.666022034295436,4505.044812780541,51.637669429006394,0.0,25.23270416268501,1184.1600721731704,50.29451690476619
Puducherry,21.0,99.2,732.440326626543,99.00395956651354,21.0,99.09573121459712,5.0,31.77666028773196,0.0,0.0,768.1378250576741,30.536684189612874,4.0,94.15606881512257,,,1102.753620823648,91.84987063769337
Mizoram,23427.973452841405,98.06914468105082,2804.917689334056,98.30638612262457,4074.684090250027,99.08964441451235,5.0,6.69604361256421,686.9184757975863,29.810543172289993,5.0,7.008084377795482,4.0,96.9,60.13050637071804,100.0,4.0,97.0
Rajasthan,104824.54775654683,89.56545445316176,24329.6854325178,89.5677028301301,205888.01177002987,91.55327311823787,3987.1904045199212,4.401496991130509,1543.1609973566408,4.2293234098084795,2845.0157185698426,2.6129158925433513,1257.6174203667142,63.406863948621336,901.0625092098829,47.11587515258818,4542.146480174072,59.74507640361864
West Bengal,112960.7013604822,93.49096773889127,7614.29283536976,81.14786051841212,73113.4927411038,91.60593041866325,12799.950498177424,14.329706693115835,290.9725553671474,14.30585217994111,12899.58455715615,13.90334003773942,6874.597506144775,74.74870698379793,842.029014342068,83.42411978312353,8109.436029747548,78.79180505304947
Odisha,42325.875345374756,96.90976423069186,9464.340915237779,95.19885727108324,51198.10071619091,96.24000756042409,6318.591987990996,8.900591177506092,798.6804751566052,7.5225624117574,13193.82121803514,7.984774884464687,2609.4207618228093,77.65140258478026,0.0,77.94946804881592,3249.1552793889296,72.94687334895244
Andhra Pradesh,62818.644034235745,98.27101066003203,29831.02657008723,99.9794112377675,92066.71592336352,98.42532178265935,3622.8437531067248,12.505720392799061,2253.434276268818,10.959806212174623,12111.373143927534,12.601674729284186,6204.227780821458,73.96036384455805,1703.7435296342846,57.77821960871614,6226.177179454129,67.73674665363053
Manipur,21.0,74.23420463681117,2.0,54.35486484920371,21994.78015554682,74.3,5.0,17.760140582597742,466.0298055559105,7.43132435212594,3864.7188901305517,14.149259507077286,1327.7152735679747,46.135402852233625,0.0,19.81566357808644,1286.092877150549,44.475769635397654
Jharkhand,45626.73428583279,91.21100063980319,7835.366724440029,84.40173648095468,93582.64951732568,88.666078296768,436.656314631271,5.657470532318818,514.3480383879916,7.419790002780541,1141.27456702852,4.763456243553331,1437.3758737237295,55.267146531989496,269.09637975829315,41.951467295577224,1331.8914478719967,52.204678871562145
Goa,21.0,99.2,4188.316398601313,71.14634186781059,21.0,93.00319082217865,5.0,20.80658714106528,418.0975793590724,15.967776777425252,5.0,20.910586410393467,2017.1884062136014,90.25537657462701,0.0,47.95223213387288,4.0,88.99655926520003
Odisha,55163.258368149895,97.46580281713705,2.0,92.2077367471119,37572.94388429024,95.64430195030748,3511.230449949076,7.320546995893673,204.27141331165762,7.027944410181099,6004.098254950977,7.906021218550216,1907.4833615579453,75.01271546019022,209.5569599869882,77.39416266360665,6906.66975760198,80.7403477343933
Telangana,65689.81797236565,94.91748113818062,2675.3609907692935,91.45518128622201,38854.501871233966,92.49611219633312,3512.434718032964,6.7780963875616385,432.02671793524013,4.886377511338786,2368.233574331708,6.466897144027115,1784.4131025071492,79.79502721581535,437.3224451175864,80.59820337324723,864.0892486136568,82.27392959901542
Telangana,14485.620255349997,93.98909806137837,19828.370030003476,93.18804213527808,83330.04881473002,93.62564061147175,3637.38854126627,6.5687779593559155,1011.7512220065494,5.027922167103685,7985.34416490231,6.24770884365929,4642.59308232662,83.2532948675612,747.7753489088058,81.569772323951,3732.8729830232023,85.60963583229355
Delhi,83536.88480436438,84.6632639908611,3707.5086226701246,54.35325381030191,109006.13473401699,81.52374888307874,3481.1694259613128,8.960382985780624,1704.22762325478,9.674050240047517,6464.8885042123,8.532284865321632,3041.1202635582586,48.65101499008983,0.0,29.67330237543346,3970.252201575869,47.72939893662763
Chandigarh,21684.19559906933,94.90957827137157,827.4253168664358,72.66491507243778,2054.311307536639,94.15164332984938,32.3663537135501,8.058847078223334,396.0874046436846,9.918824898179851,5.0,8.034255460892975,1474.9146344703229,76.58207849655858,123.1527105745681,95.85972040666128,2188.048360879263,81.12599103637052
Punjab,20488.24229576149,91.36510232059737,3694.525304392856,92.03293046463665,65587.02818384668,91.97604375400086,4006.8959048334455,10.424591751122191,669.616920188457,7.538847002626365,5913.6607576571105,10.084301898248238,682.9292246771163,41.77212684121936,342.43562522461343,23.535692801357122,4435.575471878893,42.56462875744869
Manipur,11331.320636767643,76.93866862365805,1965.0987742962218,55.225557527813365,23601.95034042415,74.3,5.0,16.352028622823415,0.0,6.880486786843736,5.0,13.585419335174157,4.0,48.70184044342741,0.0,21.212908235691405,534.2982971504339,45.69591743373651
Uttar Pradesh,328324.82580698526,94.30207986439365,91577.23640673958,86.22869864429882,420939.2442593797,91.80820616787017,20081.55995057494,4.4125133292559084,1374.819629696586,2.2317357772680277,19702.709172450926,3.7733508335941033,5886.121955057019,38.0,854.9508475245061,38.39394153371895,12962.265082736918,38.46202287146852
Himachal Pradesh,14337.496325115018,96.52387379123637,9950.586227574206,97.03292004359807,25738.080694389966,99.2,2436.6117340390115,10.242524229841925,597.0950573538386,5.594569401125298,4705.453928658653,8.389175934620516,4.0,76.45237853654298,0.0,77.26858156564553,4.0,78.31255979298145
Andhra Pradesh,92521.08466106458,97.73723642071637,12435.77089946068,99.85094777397705,69921.696582035,98.75997564228786,8058.497054074189,13.41049529100434,1819.6366029206647,9.59601923268264,12117.18464413617,13.110578231904118,5707.199897907023,67.88893610326973,1796.539072792879,53.642489487155736,9318.819086281888,66.7820164290418
Puducherry,15817.72076726816,99.2,2.0,100.0,34190.891622718395,98.03444893410274,2003.324592540389,31.13685314885968,0.0,0.0,453.29869238142754,30.162214922705818,1160.6433354425053,95.00085880130429,,,2752.6987788343845,97.0
Andaman & Nicobar Islands,21.0,94.24782624396008,2.0,75.68889821261854,26336.08870523584,94.28924596707172,3525.814347596113,19.737764547706885,0.0,33.3,330.3682343927584,18.68498907668539,2460.2653747767245,69.58677395725832,0.0,100.0,219.31020877371483,70.53029756093036
Tamil Nadu,72719.71174170835,97.50258587083184,30362.051373581908,90.6599549506998,23381.3380810768,97.24746898113196,18198.201550006,25.45926212386166,3270.9137078835815,21.92412795542089,27883.71955238766,25.125759336639096,18645.577021175333,92.46674507749877,3021.3496345535787,87.67231561927014,22037.28173015692,94.48245162016883
Gujarat,72367.22755595573,97.93757556910826,36755.68595265331,90.33322661230646,168268.2032100943,96.79706990040238,6317.832211618142,4.741811456823511,1613.5403631343243,3.7813872265848407,6180.923624808943,4.910380433933805,4657.421095202935,81.43695827538515,928.8556347648909,75.84662935426397,2873.070837911476,80.54581152124173
Uttar Pradesh,381684.60167193046,92.88239019306421,108988.5358558848,90.79664301880915,512165.5475219462,90.83745922378692,18801.990813505567,3.4721459199613127,2258.883018092675,1.1485237117381195,23929.359497447116,4.904189431390554,7217.981493228152,38.0,560.3838530031849,35.88713468095222,8170.910637038744,37.85744527896945
Odisha,93120.59001241425,96.91582455537734,9144.530046947446,91.87835554458682,55043.6058161109,95.43527567791966,2602.417179152636,8.052927236156956,0.0,6.23610601207775,4040.9079478908784,7.300073288434318,1880.7333937312299,78.52339370811816,288.83168211162837,73.80719085945438,3844.866818543763,76.81128770244746
Lakshadweep,21.0,95.29415571968302,,,21.0,95.58791433467978,5.0,23.889934463828386,,,54.52361198900427,23.385586416557533,904.9413511169897,79.28051071601624,,,1832.528272287681,79.37588894912776
Uttarakhand,36371.06038454369,97.03979220073698,13356.639677345438,96.7369217300151,21256.913907126065,96.49186171660322,5.0,7.214785899225363,0.0,7.424195205204258,588.7487196882475,8.494032358555383,4.0,38.86239423512689,357.35408226371715,47.74052113801867,4.0,38.39069343129429
Meghalaya,21.0,77.37529738245449,2.0,50.0,21.0,75.66273812979364,1647.0904490540847,5.838835829102065,33.625544071457284,3.2190962898202304,2759.141874321339,6.576659258787457,4.0,65.73316989485626,125.87438120078346,74.85046651114426,1632.6249741885674,63.180209936178336
Punjab,63236.172277885176,91.89822059488856,13771.507289951154,94.09560683157397,19975.453647978007,91.24648311862455,8661.905983799981,10.041877930986653,755.7760566213956,7.367404485505143,6546.067194133222,10.390314057988592,3271.3805373423406,45.48746587244838,245.9129435123012,29.79082346314154,2356.668285338159,44.394647298355245
Lakshadweep,21.0,96.08837191617874,,,23742.498869736413,94.78126849299282,5.0,23.14462630722619,,,5.0,23.81131230153314,4.0,81.77086860647572,,,4.0,77.3719013626938
Puducherry,21.0,99.2,2.0,99.89303244628351,26925.601078592397,99.19454606576177,5.0,30.544260851126857,499.2146356631237,0.0,243.77071859306884,30.482539827343448,3197.6915205326845,92.83616524543707,,,4.0,93.75910920859549
Chandigarh,21.0,94.70571411433183,2.0,74.13326728620342,21.0,93.79984417541309,5.0,8.864495209829824,0.0,11.48515765493959,5.0,9.3030699939188,735.7670549428074,80.6209889052587,203.91821108717718,100.0,4.0,82.96655484398268
Telangana,45074.94003248977,93.60905944745959,12642.288084691838,90.46649129126381,59615.45468264066,94.06701568537554,5.0,5.5761532992190395,397.87366080124707,4.028508841912048,3363.329874715783,6.049596272559956,2817.5738822347826,83.34162896046745,451.85838817411445,85.0034209368359,2411.7490512772847,80.5542361948879
Uttar Pradesh,398748.1746073135,93.47100767623077,114202.74378431754,85.94789885397292,456594.789722298,91.95347577831588,16655.852761989718,6.627443527375247,2776.692059306145,3.2501096519490327,19815.110076880883,3.918753533626899,10305.417474249854,42.30950456752206,656.4789105349639,32.73933967743313,11834.436792889219,41.24693809354299
Arunachal Pradesh,11382.755979519792,78.38255378019186,2.0,50.80076734835273,21.0,79.53837631365192,5.0,2.3,180.51406983222884,0.37019371194593476,3354.56213359639,2.5,479.3476801134561,50.04907213050655,,,4.0,44.58642360392154
Ladakh,21.0,90.71177654552703,2.0,84.1703327970766,18268.707105894086,91.03813240892363,5.0,2.3,0.0,13.130240762593214,5.0,2.596173123311024,4.0,82.09213907862778,0.0,100.0,4.0,88.41645443667913
Punjab,44056.81498598009,90.32327741389038,12847.732180588966,91.27624003263688,122198.07868056024,91.07281747649058,2390.8023833242414,11.226587047863104,342.5433987155382,8.616821529282083,4812.829458244605,10.033669530465538,823.1878853143469,44.073653459348755,317.9905926300371,22.206667667724943,4.0,41.91639470529885
Ladakh,3215.215260227273,91.27441251487004,19660.229593499615,85.31171866705763,80844.86935878235,91.87932763374467,5.0,2.908465255657808,671.998732809906,10.765353001195862,5.0,2.5,518.2171205884163,84.18786031059943,136.87295152740404,100.0,3393.7527063988023,84.63956796069019
Chhattisgarh,11782.188389257935,91.4403749320047,2.0,89.32156982232296,12490.178764040895,91.12295106051748,1649.9392956727315,8.51205556653332,1612.7603394764637,6.9460218047110125,1408.7748160638596,8.817631548777738,1618.4400179463455,48.42878185964873,0.0,31.170450571608807,1867.1087443630558,43.07810412062562
Andaman & Nicobar Islands,21.0,94.50684038327739,690.1318917570769,75.06938563285118,14230.137687081822,94.6686698912459,5.0,18.398611315894954,0.0,33.3,5.0,19.2648442876171,1618.9979885668165,69.35990088119615,142.68358011290974,97.04136111273667,4.0,72.46996942775955
India,1701556.0089303714,93.24306578394679,503859.60964656295,87.3838398463408,2145229.076781875,91.00756597338263,140430.88209678428,7.45401793940913,30149.225542880406,4.659049331681642,172932.7933948028,7.5033655326370505,93393.87079916627,66.32183243880168,16161.0,53.81760061741128,108849.78217880629,65.26490902631062
Jharkhand,42557.999288790445,89.44851852848352,10862.952606800638,84.06792349950067,32329.56674325697,88.52457434390296,797.7739947276107,4.594717356187945,1270.8335588208529,6.778019340699205,1570.868686995209,4.236363012447709,1217.7651976613254,56.81349286178501,132.5254227930399,41.357618835849635,4.0,50.36365715488289
Puducherry,21.0,99.2,2.0,98.30667241753363,21.0,98.79197641453233,2528.089613421802,29.166693086043747,0.0,0.8564772152799977,5.0,32.228814995497274,4.0,96.9,,,4.0,94.0853183362286
Punjab,19354.59652156858,92.44035882997011,1110.942703544515,93.16203474678764,75040.49745639529,91.00695282305489,4355.373263007442,11.307799429984168,630.4243815062653,7.442827785384979,2951.35971341984,10.20511579693847,4.0,47.27697303897855,0.0,21.751558651230457,2599.4545691368407,42.97303826405586
Arunachal Pradesh,21.0,77.7834612702012,2.0,50.0,6580.3755308407335,78.59406218969976,5.0,3.6882413105482375,0.0,0.0,5.0,2.5,4.0,49.87360255773857,,,4.0,47.12773570115168
Rajasthan,76547.86685945002,89.96417974727379,34390.47910994143,88.94249629646048,182966.07011041592,92.05992080497593,4716.9521293542675,2.3,865.3015529846666,3.8296660254893093,6527.600198934755,2.5,2658.7255672206734,67.82726890245524,630.279107034888,49.61289720234007,3013.1379934628467,62.39947729590441
Uttarakhand,21.0,97.8668702254095,10717.91266651759,93.28006407324162,16264.21770267182,95.4415677715513,5.0,8.038347053413945,812.0103957639031,5.920980055431816,3953.489423940383,9.42816261446733,4965.693733148853,38.0,0.0,56.070218729170186,352.89407851138935,39.34147932572878
